Las Cuatro Milpas,4.5,1875 Logan  Ave,92113
La Playa Taco Shop,4.5,3973 Mission Blvd,92109
"Tacos El Paisa, Inc",4.5,3096 National Ave,92113
La Perla Cocina Mexicana,4.5,745 Emerald St,92109
JV's Mexican Food,4.5,1112 Morena  Blvd,92110
El Borrego Restaurant,4.5,4280 El Cajon Blvd,92105
Super Cocina,4.5,3627 University Ave,92104
La Fachada,4.0,20 25th St,92102
Carmen's Authentic Mexican Food,4.5,4937 Diane Ave,92117
Lolita's Taco Shop,4.0,7305 Clairemont Mesa Blvd,92111
Casa Adams,4.0,3038 Adams Ave,92116
Maritza's Mexican Food Restaurant,4.5,3582 Mount Acadia Blvd,92111
La Puerta,4.0,560 4th Ave,92101
Ponce's Mexican Restaurant,4.0,4050 Adams Ave,92116
El Zarape,4.0,4642 Park Blvd,92116
Ranchos Cocina,4.0,3910 30th St,92104
El Comal,4.0,3946 Illinois St,92104
Lolitas Mexican,4.0,202 Park Blvd,92101
Los Reyes,4.0,2496 Broadway,92102
Dos Brasas,4.0,1890 San Diego Ave,92110
